0,1,2,3
Contacts,Contacts,Contacts,Contacts
Role,Party  and Contact Information,Party  and Contact Information,Party  and Contact Information
Depositor,"Wells  Fargo Commercial Mortgage Securities, Inc.",,
,Attention:  A.J. Sfarra,,cmbsnotices@wellsfargo.com
,"30  Hudson Yards, 15th Floor | New York, NY 10001 | United States","30  Hudson Yards, 15th Floor | New York, NY 10001 | United States","30  Hudson Yards, 15th Floor | New York, NY 10001 | United States"
Certificate  Administrator,"Computershare  Trust Company, N.A.",,
,Corporate  Trust Services (CMBS),,cctcmbsbondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Master  Servicer,"Midland  Loan Services, a Division of PNC Bank, N.A.",,
,Attention:  Executive Vice President – Division Head,,NoticeAdmin@midlandls.com
,"10851  Mastin Street, Building 82, Suite 300 | Overland Park, KS 66210 | United States","10851  Mastin Street, Building 82, Suite 300 | Overland Park, KS 66210 | United States","10851  Mastin Street, Building 82, Suite 300 | Overland Park, KS 66210 | United States"
Trustee,"Computershare  Trust Company, N.A.",,
,Corporate  Trust Services (CMBS),,cctcmbsbondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Special  Servicer,"Rialto  Capital Advisors, LLC",,
,Attention:  Liat Heller,,liat.heller@rialtocapital.com
,"200  S. Biscayne Blvd, Suite 3550 | Miami, FL 33131 | United States","200  S. Biscayne Blvd, Suite 3550 | Miami, FL 33131 | United States","200  S. Biscayne Blvd, Suite 3550 | Miami, FL 33131 | United States"
Operating  Advisor & Asset Representations Reviewer,Park Bridge  Lender Services LLC,,
,Surveillance  Manager,,cmbs.notices@parkbridgefinancial.com
,"600  Third Avenue, 40th Floor | New York, NY 10016 | United States","600  Third Avenue, 40th Floor | New York, NY 10016 | United States","600  Third Avenue, 40th Floor | New York, NY 10016 | United States"
