0,1,2,3
Contacts,Contacts,Contacts,Contacts
Role,Party  and Contact Information,Party  and Contact Information,Party  and Contact Information
Depositor,"Wells  Fargo Commercial Mortgage Securities, Inc.",,
,Attention:  A.J. Sfarra,,cmbsnotices@wellsfargo.com
,"30  Hudson Yards, 15th Floor | New York, NY 10001 | United States","30  Hudson Yards, 15th Floor | New York, NY 10001 | United States","30  Hudson Yards, 15th Floor | New York, NY 10001 | United States"
Master  Servicer,"Midland  Loan Services, a Division of PNC Bank, N.A.",,
,Attention:  Executive Vice President – Division Head,,NoticeAdmin@midlandls.com
,"10851  Mastin Street, Building 82, Suite 300 | Overland Park, KS 66210 | United States","10851  Mastin Street, Building 82, Suite 300 | Overland Park, KS 66210 | United States","10851  Mastin Street, Building 82, Suite 300 | Overland Park, KS 66210 | United States"
Special  Servicer,Argentic  Services Company LP,,
,Andrew  Hundertmark,,ahundertmark@argenticservices.com
,"740  East Campbell Road, Suite 600 | Richardson, TX 75081 | United States","740  East Campbell Road, Suite 600 | Richardson, TX 75081 | United States","740  East Campbell Road, Suite 600 | Richardson, TX 75081 | United States"
Trustee,"Computershare  Trust Company, N.A. as agent for Wells Fargo Bank, N.A.",,
,Attn:  Corporate Trust,,cctcrebondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Certificate  Administrator,"Computershare  Trust Company, N.A.",,
,Corporate  Trust Services (CMBS),,cctcmbsbondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Operating  Advisor & Asset Representations Reviewer,Pentalpha  Surveillance LLC,,
,Attention:  WFCM 2025-C65—Transaction Manager,,notices@pentalphasurveillance.com
,"501  John James Audubon Parkway, Suite 401 | Amherst, NY 14228 | United States","501  John James Audubon Parkway, Suite 401 | Amherst, NY 14228 | United States","501  John James Audubon Parkway, Suite 401 | Amherst, NY 14228 | United States"
