0,1,2,3
Contacts,Contacts,Contacts,Contacts
Role,Party  and Contact Information,Party  and Contact Information,Party  and Contact Information
Depositor,"Wells  Fargo Commercial Mortgage Securities, Inc.",,
,Attention:  A.J. Sfarra,,cmbsnotices@wellsfargo.com
,"30  Hudson Yards, 15th Floor | New York, NY 10001 | United States","30  Hudson Yards, 15th Floor | New York, NY 10001 | United States","30  Hudson Yards, 15th Floor | New York, NY 10001 | United States"
Certificate  Administrator,"Computershare  Trust Company, N.A.",,
,Corporate  Trust Services (CMBS),,cctcmbsbondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Master  Servicer,Trimont  LLC,,
,Attention:  CMBS Servicing,,trimont.commercial.servicing@cms.trimont.com
,"550  S. Tryon Street, Suite 2400 | Charlotte, NC 28202 | United States","550  S. Tryon Street, Suite 2400 | Charlotte, NC 28202 | United States","550  S. Tryon Street, Suite 2400 | Charlotte, NC 28202 | United States"
Special  Servicer,K-Star  Asset Management LLC,,
,Attention:  Lindsey Wright,,Lindsey.Wright@KKR.com
,"5949  Sherry Lane, Suite 950 | Dallas, TX 75225 | United States","5949  Sherry Lane, Suite 950 | Dallas, TX 75225 | United States","5949  Sherry Lane, Suite 950 | Dallas, TX 75225 | United States"
Operating  Advisor & Asset Representations Reviewer,Park Bridge  Lender Services LLC,,
,Surveillance  Manager,,cmbs.notices@parkbridgefinancial.com
,"600  Third Avenue, 40th Floor | New York, NY 10016 | United States","600  Third Avenue, 40th Floor | New York, NY 10016 | United States","600  Third Avenue, 40th Floor | New York, NY 10016 | United States"
Trustee,Deutsche  Bank National Trust Company,,
,Attention:  Trust Administration,,cmbsadmin@list.db.com
,"1761  East St. Andrew Place | Santa Ana, CA 92705 | United States","1761  East St. Andrew Place | Santa Ana, CA 92705 | United States","1761  East St. Andrew Place | Santa Ana, CA 92705 | United States"
